comment,rating_star
สินค้าดีมากครับ ส่งเร็วมาก ประทับใจ,5
ของดีมาก คุ้มราคา จะสั่งอีกแน่นอน,5
ได้รับของแล้ว ดีกว่าที่คิดไว้มาก,5
สินค้าตรงปก ส่งเร็ว ขอบคุณครับ,5
ใช้งานได้ดี คุณภาพโอเคสำหรับราคานี้,4
สินค้าโอเค แต่ส่งช้าไปหน่อย,4
ของดี แต่กล่องบุบมานิดหน่อย,4
คุณภาพพอใช้ได้ ราคาเหมาะสม,4
สินค้าใช้งานได้ปกติ ไม่มีปัญหา,4
พอใช้ได้ เฉยๆ ไม่ได้ประทับใจอะไร,3
สมราคา ไม่ได้คาดหวังอะไรมาก,3
ปานกลาง ใช้งานได้แต่ไม่หวือหวา,3
ก็ได้ครับ ไม่ได้แย่แต่ก็ไม่ได้ดี,3
สินค้าไม่ตรงปก ผิดหวังมาก,2
ส่งช้ามาก รอนานเกินไป,2
คุณภาพแย่กว่าที่โฆษณาไว้,2
ของมาไม่ครบ ต้องติดต่อร้านอีก,2
บริการแย่ ไม่ค่อยตอบแชท,1
สินค้าพังมาตั้งแต่แกะกล่อง,1
ไม่สั่งอีกแล้ว อย่างแย่,1
ของปลอม ไม่ใช่ของแท้ตามที่โฆษณา,1
รอนานมาก กว่าจะได้รับของ 3 อาทิตย์,1
แย่มาก คืนเงินให้ด้วย,1
สินค้าดีมาก ใช้งานง่าย แนะนำเลย,5
ร้านนี้ดีมาก บริการประทับใจ,5
ได้รับเร็วกว่ากำหนด ขอบคุณครับ,5
สินค้าคุณภาพดี ราคาคุ้มค่า,5
แพ็คมาอย่างดี สินค้าไม่เสียหาย,5
ใช้งานได้ดี ตรงตามสเปค,4
สั่งครั้งที่สองแล้ว ยังดีเหมือนเดิม,4
ส่งเร็วดี สินค้าโอเค,4
ราคาถูกกว่าร้านอื่น คุณภาพพอกัน,4
สินค้าตรงตามที่ระบุ ใช้งานได้ปกติ,4
เฉยๆ ครับ ไม่ได้ดีไม่ได้แย่,3
พอรับได้ สมราคา,3
ใช้งานได้ แต่ไม่ค่อยทน,3
ก็โอเคนะ แต่คาดหวังไว้มากกว่านี้,3
ปกติครับ ไม่มีอะไรพิเศษ,3
สินค้าไม่ได้คุณภาพอย่างที่บอก,2
ส่งช้ากว่ากำหนดมาก ไม่พอใจ,2
กล่องแตกมา สินค้าเสียหาย,2
ร้านไม่ค่อยตอบแชท ติดต่อยาก,2
คุณภาพไม่คุ้มราคา,2
ของไม่ตรงสี ต่างจากรูปในเว็บ,1
แย่มากเลย ไม่แนะนำ,1
สินค้าเสียก่อนใช้งานด้วยซ้ำ,1
โดนโกง ของไม่ตรงปกเลย,1
บริการห่วยมาก ไม่รับผิดชอบ,1
ประทับใจมากเลยครับ สินค้าดีจริงๆ,5
ส่งของเร็วมาก ได้ของภายใน 2 วัน,5
คุณภาพเกินราคา ดีใจที่สั่ง,5
ร้านแนะนำเลยครับ บริการดีมาก,5
สินค้าสวยมาก ตรงปกทุกอย่าง,5
ดีครับ ใช้งานง่าย คุ้มค่า,4
สินค้าโอเค ส่งเร็วพอสมควร,4
แพ็คของดี ของไม่เสียหาย,4
ใช้งานได้ดี ราคาไม่แพง,4
โอเคครับ ตรงตามที่สั่ง,4
ธรรมดาครับ ไม่ได้พิเศษอะไร,3
พอใช้ได้ ราคาโอเค,3
